"","Country","Year.x","Code.x","Cost.of.Living.Index.x","Rent.Index","Health.Care.Index.x","Health.CareExp..Index","Quality.of.Life.Index","Family Planning","Live Births per Woman per Country","Annual Births per Country"
"1","Afghanistan",2020,"AFG",24.24,4.03,NA,NA,NA,NA,4.176,1215628
"2","Albania",2020,"ALB",36.39,8.55,53.05,92.72,NA,0.04,1.58,32888
"3","Algeria",2020,"DZA",30.1,5.34,54.86,99.61,NA,0.5,2.942,995368
"4","Argentina",2020,"ARG",32.95,8.33,69.25,125.67,115.31,NA,2.233,752059
"5","Armenia",2020,"ARM",32.84,10.91,NA,NA,NA,0.28,1.76,39311
"6","Australia",2020,"AUS",73.54,34.86,77.38,140.97,186.21,0.65,1.806,318478
"7","Austria",2020,"AUT",70.38,26.81,78.73,144.24,182.5,NA,1.554,89693
"8","Azerbaijan",2020,"AZE",29.92,9.48,43.18,74.96,NA,0.14,2.044,156761
"9","Bahamas",2020,"BHS",82.51,36.36,NA,NA,NA,NA,1.733,5422
"10","Bahrain",2020,"BHR",58.94,30.95,NA,NA,NA,NA,1.942,22096
"11","Bangladesh",2020,"BGD",32.25,5.01,42.8,73.17,70.03,0.59,1.987,2889959
"12","Barbados",2020,"BRB",76.02,19.7,NA,NA,NA,0.55,1.628,3045
"13","Belarus",2020,"BLR",34.7,10.5,59.04,105.39,134.83,0.59,1.727,107929
"14","Belgium",2020,"BEL",71.78,25.43,74.34,134.81,153.47,0.65,1.716,124027
"15","Belize",2020,"BLZ",49.23,9.74,NA,NA,NA,0.49,2.246,8059
"16","Bolivia",2020,"BOL",34.56,10.93,NA,NA,NA,0.45,2.651,247457
"17","Bosnia And Herzegovina",NA,NA,35.97,6.72,52.26,93.3,121.89,NA,NA,NA
"18","Botswana",2020,"BWA",39.13,11.12,NA,NA,NA,NA,2.796,55466
"19","Brazil",2020,"BRA",40.22,10.65,56.29,100.08,105.65,0.78,1.706,2859135
"20","Brunei",2020,"BRN",44.71,23.08,NA,NA,NA,NA,1.796,6156
"21","Bulgaria",2020,"BGR",36.7,9.64,55.4,98.03,129.8,0.4,1.585,61003
"22","Cambodia",2020,"KHM",47.49,14.9,NA,NA,NA,0.39,2.453,360189
"23","Canada",2020,"CAN",67.62,30.73,71.58,131.44,163.47,NA,1.499,386828
"24","Chile",2020,"CHL",43.62,13.39,65.44,118.89,119.76,0.7,1.611,227040
"25","China",2020,"CHN",40.04,16.38,64.48,115.53,102.81,0.81,1.7,16233446
"26","Colombia",2020,"COL",30.66,9.58,67.24,120.65,105.83,0.76,1.771,727212
"27","Costa Rica",2020,"CRI",53.98,15.55,62.42,112.66,NA,0.69,1.721,68242
"28","Croatia",2020,"HRV",49.7,13.5,62.68,115.03,159.01,NA,1.423,35341
"29","Cuba",2020,"CUB",43.46,4.84,NA,NA,NA,0.72,1.59,110698
"30","Cyprus",2020,"CYP",57.93,20.54,51.75,89.36,147.93,NA,1.313,12070
"31","Czech Republic",NA,NA,46.15,19.56,74.62,136.97,156.24,NA,NA,NA
"32","Denmark",2020,"DNK",83,31.92,80,147.47,192.67,NA,1.768,63256
"33","Dominican Republic",2020,"DOM",44.06,10.62,54.67,95.61,NA,0.68,2.299,204486
"34","Ecuador",2020,"ECU",40.98,11.96,70.59,126.98,125.14,0.72,2.38,337355
"35","Egypt",2020,"EGY",29.54,5.49,45.84,78.61,86.54,0.57,3.236,2562681
"36","El Salvador",2020,"SLV",45.57,13.48,NA,NA,NA,0.68,2.002,115623
"37","Estonia",2020,"EST",50.93,15.41,72.67,132.9,177.82,0.58,1.608,13402
"38","Ethiopia",2020,"ETH",54.39,20.9,NA,NA,NA,0.38,4.049,3618849
"39","Fiji",2020,"FJI",47.48,18.55,NA,NA,NA,NA,2.729,18472
"40","Finland",2020,"FIN",70.29,26.16,75.79,138.01,190.22,0.82,1.455,49106
"41","France",2020,"FRA",74.14,25.39,79.99,146.81,153.95,0.73,1.841,719164
"42","Georgia",2020,"GEO",28.48,9.8,51.24,88.33,115.95,0.33,2.046,51456
