,Country,Year,Annual Births per Country
70,Afghanistan,2019,1211509
71,Afghanistan,2020,1215628
141,Africa,2019,43206498
142,Africa,2020,43713339
212,Albania,2019,33421
213,Albania,2020,32888
283,Algeria,2019,1012188
284,Algeria,2020,995368
354,Angola,2019,1283488
355,Angola,2020,1311356
425,Antigua and Barbuda,2019,1467
426,Antigua and Barbuda,2020,1457
496,Argentina,2019,753596
497,Argentina,2020,752059
567,Armenia,2019,40300
568,Armenia,2020,39311
638,Aruba,2019,1249
639,Aruba,2020,1264
709,Asia,2019,73789469
710,Asia,2020,73279366
780,"Asia, Central",2019,1633548
781,"Asia, Central",2020,1608434
851,Australia,2019,318644
852,Australia,2020,318478
922,Australia & New Zealand,2019,378290
923,Australia & New Zealand,2020,378149
993,Austria,2019,89072
994,Austria,2020,89693
1064,Azerbaijan,2019,161937
1065,Azerbaijan,2020,156761
1135,Bahamas,2019,5408
1136,Bahamas,2020,5422
1206,Bahrain,2019,22009
1207,Bahrain,2020,22096
1277,Bangladesh,2019,2913430
1278,Bangladesh,2020,2889959
1348,Barbados,2019,3048
1349,Barbados,2020,3045
1419,Belarus,2019,109779
1420,Belarus,2020,107929
1490,Belgium,2019,124262
1491,Belgium,2020,124027
1561,Belize,2019,8014
1562,Belize,2020,8059
1632,Benin,2019,423498
1633,Benin,2020,430443
1703,Bhutan,2019,12977
1704,Bhutan,2020,12886
1774,Bolivia,2019,247145
1775,Bolivia,2020,247457
1845,Bosnia and Herzegovina,2019,26311
1846,Bosnia and Herzegovina,2020,25586
1916,Botswana,2019,55757
1917,Botswana,2020,55466
1987,Brazil,2019,2889924
1988,Brazil,2020,2859135
2058,Brunei,2019,6260
2059,Brunei,2020,6156
2129,Bulgaria,2019,61892
2130,Bulgaria,2020,61003
2200,Burkina Faso,2019,762497
2201,Burkina Faso,2020,774622
2271,Burundi,2019,443133
2272,Burundi,2020,449616
2342,Cambodia,2019,362761
2343,Cambodia,2020,360189
2413,Cameroon,2019,903930
2414,Cameroon,2020,914863
2484,Canada,2019,386464
2485,Canada,2020,386828
2555,Cape Verde,2019,10478
2556,Cape Verde,2020,10357
2626,Caribbean,2019,706903
2627,Caribbean,2020,700165
2697,Central African Republic,2019,167385
2698,Central African Republic,2020,169149
2768,Central America,2019,3245542
2769,Central America,2020,3231035
2839,Central and Southern Asia,2019,38342265
2840,Central and Southern Asia,2020,38238679
2910,Chad,2019,665764
2911,Chad,2020,677534
2981,Channel Islands,2019,1687
2982,Channel Islands,2020,1697
3052,Chile,2019,229031
3053,Chile,2020,227040
3123,China,2019,16539228
3124,China,2020,16233446
3194,Colombia,2019,732473
3195,Colombia,2020,727212
3265,Comoros,2019,26739
3266,Comoros,2020,26932
3336,Congo,2019,174549
3337,Congo,2020,176735
3407,Costa Rica,2019,69059
3408,Costa Rica,2020,68242
3478,Cote d'Ivoire,2019,913408
3479,Cote d'Ivoire,2020,928937
3549,Croatia,2019,36074
3550,Croatia,2020,35341
3620,Cuba,2019,112811
3621,Cuba,2020,110698
3691,Curacao,2019,1747
3692,Curacao,2020,1738
3762,Cyprus,2019,12265
3763,Cyprus,2020,12070
3833,Czechia,2019,109531
3834,Czechia,2020,108313
3904,Democratic Republic of Congo,2019,3532492
3905,Democratic Republic of Congo,2020,3597686
3975,Denmark,2019,62394
3976,Denmark,2020,63256
4046,Djibouti,2019,20436
4047,Djibouti,2020,20290
4117,Dominican Republic,2019,205998
4118,Dominican Republic,2020,204486
4188,Eastern Africa,2019,14600622
4189,Eastern Africa,2020,14801746
4259,Eastern Asia,2019,18552339
4260,Eastern Asia,2020,18219912
4330,Eastern Europe,2019,3236928
4331,Eastern Europe,2020,3170506
4401,Eastern and South-Eastern Asia,2019,29922300
4402,Eastern and South-Eastern Asia,2020,29527152
4472,Ecuador,2019,337131
4473,Ecuador,2020,337355
4543,Egypt,2019,2576835
4544,Egypt,2020,2562681
4614,El Salvador,2019,116522
4615,El Salvador,2020,115623
4685,Equatorial Guinea,2019,44478
4686,Equatorial Guinea,2020,45415
4756,Eritrea,2019,104526
4757,Eritrea,2020,104122
4827,Estonia,2019,13521
4828,Estonia,2020,13402
4898,Eswatini,2019,29726
4899,Eswatini,2020,29467
4969,Ethiopia,2019,3579233
4970,Ethiopia,2020,3618849
5040,Europe,2019,7645336
5041,Europe,2020,7555021
5111,Europe and Northern America,2019,11965569
5112,Europe and Northern America,2020,11900701
5182,"Europe, Western",2019,1990738
5183,"Europe, Western",2020,1991740
5253,Fiji,2019,18665
5254,Fiji,2020,18472
5324,Finland,2019,50035
5325,Finland,2020,49106
5395,France,2019,723195
5396,France,2020,719164
5466,French Guiana,2019,7275
5467,French Guiana,2020,7359
5537,French Polynesia,2019,4031
5538,French Polynesia,2020,3983
5608,Gabon,2019,67154
5609,Gabon,2020,67272
5679,Gambia,2019,89530
5680,Gambia,2020,90977
5750,Georgia,2019,52711
5751,Georgia,2020,51456
5821,Germany,2019,786166
5822,Germany,2020,789910
5892,Ghana,2019,882491
5893,Ghana,2020,889291
5963,Greece,2019,78607
5964,Greece,2020,76268
6034,Grenada,2019,1813
6035,Grenada,2020,1788
6105,Guadeloupe,2019,4594
6106,Guadeloupe,2020,4561
6176,Guam,2019,2753
6177,Guam,2020,2756
6247,Guatemala,2019,425925
6248,Guatemala,2020,427598
6318,Guinea,2019,460091
6319,Guinea,2020,467541
6389,Guinea-Bissau,2019,66429
6390,Guinea-Bissau,2020,66974
6460,Guyana,2019,15436
6461,Guyana,2020,15316
6531,Haiti,2019,269929
6532,Haiti,2020,268969
6602,High income countries,2019,13446857
6603,High income countries,2020,13403343
6673,Honduras,2019,208145
6674,Honduras,2020,208734
6744,Hong Kong,2019,82518
6745,Hong Kong,2020,82839
6815,Hungary,2019,91471
6816,Hungary,2020,91049
6886,Iceland,2019,4033
6887,Iceland,2020,4006
6957,India,2019,24116023
6958,India,2020,24067825
7028,Indonesia,2019,4800697
7029,Indonesia,2020,4771211
7099,Iran,2019,1524492
7100,Iran,2020,1503007
7170,Iraq,2019,1124363
7171,Iraq,2020,1136256
7241,Ireland,2019,60606
7242,Ireland,2020,59325
7312,Israel,2019,170176
7313,Israel,2020,170262
7383,Italy,2019,446715
7384,Italy,2020,437905
7454,Jamaica,2019,46879
7455,Jamaica,2020,46455
