,tweets
0,"NEW COVER: Because of the pandemic, half a million fewer babies may be born in the U.S. in 2021. And there’s no guarantee the birthrate will bounce back after. 

Americans aren't making babies, and that's bad for the economy https://trib.al/ZKftTWd"
1,"""U.S. birthrate hits lowest ever"" are you telling me people don't want to have babies in the middle of a pandemic in a country with terrible healthcare and nonexistent parental leave?"
2,"Britain is currently facing a ‘baby shortage’ – as the pandemic has prompted a decline in the number of people having children 

Last year’s birthrate in England and Wales was 1.58 – significantly below the 2.1 level needed to keep the population rate stable "
3,"The amazing thing is that people think having a fucking pandemic lower the birthrate is big shocking news

The idea that it should've had no effect on the birthrate or, worse, had the opposite effect on the birthrate is completely fucking deranged"
4,When Dr Parasaram answered a question re the birthrate and I remember he has to manage the country’s other health departments AS WELL AS the pandemic
5,"In Opinion

“The declining birthrate has been an issue for years, and the pandemic has pushed it into overdrive,” write Melissa Kearney and Phillip Levine, economics professors who have studied the potentially “serious implications” of a falling birthrate."
6,U.S. birthrate falls to its lowest rate in decades in wake of the pandemic
7,"other things that irk me about the pandemic birthrate drop pearl clutching

- the assumption that fucking = breeding
- the assumption that the pandemic ought to be some kind of aphrodisiac
- maybe make it easier for folks of child-bearing age to afford a child and manage time"
8,The hampers idea to prevent the ever increasing birthrate amid pandemic
9,"Why am I so sanguine about #inflation? 3 words: Demographics, debt, and technology. Our shrinking workforce, slowing birthrate, rising debt loads, and adoption of technology that improves economic productivity (which increased during the pandemic) are all deflationary."
10,"""some predicted a pandemic baby boom. In fact, across the developed world, the exact opposite has proved true: In the U.S., 300,000 fewer babies are expected in 2021. And Europe has experienced the most severe slump in its birthrate since the the 1970s"""
11,"these fucking birthrate articles. no one had good health care BEFORE a global pandemic, we're all struggling to find and keep jobs, and it's been made clear that most elected officials don't care that schools suck and the planet is dying. Write about THAT"
12,"In a world of pandemic, political strife & climate catastrophe, most would-be parents see our future too dark & are choosing to wait to start a family.
In 2020 the birthrate in the U.S declined for the 6th straight year. 
#JesusIsTheLight
#Population"
13,"The birthrate declined again last year (of course). I remember reading the stupid theory referenced in the screenshot at the beginning of the pandemic. These brilliant PhDs think people just fuckin like cavemen who never heard of birth control
 https://nyti.ms/33dwL3V"
14,"Hey, remember in 2020 when the federal budget assumed the pandemic, bushfires and geopolitcal uncertainty was going to horn the nation up so hard that the birthrate would leap to conveniently make up our abrupt drop in immigration?

What will Josh think will arouse us this time?"
15,COVID-19 pandemic hits birthrate in Japan http://v.aa.com.tr/2013702
16,"between the pandemic, cutting immigration and birthrate plummeting, the US really is running out of people"
17,"""A greying country not renewing its young"". #Italy's birthrate is lowest since unification in 1861, Covid hastening a long demographic crisis. But the pandemic is also bringing some Italians home. Our latest from the worst hit region #Sardinia, with 
@FrancescoTosto6
 @julianmig"
18,"During the pandemic’s early days, many experts had suggested that a worldwide baby boom would be on the anvil as people were forced to stay and work from home.

#Kerala #COVID19 #BirthRate"
19,it's amazing that a pandemic affected the birthrate in America more than gay people did
20,"Not much humor in ""flatten the curve"" at the moment. But, Philadelphia Eagles win Superbowl and birthrate spikes 9 months later. Graph is actually mortality from 1918 flu pandemic Philly vs St. Louis - I use it in Intro to Immunology."
21,"“The spiraling costs of child care, health care and education — along with global instability, including the coronavirus pandemic and climate change — could all be contributing to a broader change in attitudes to marriage and priorities in life.”"
22,"Even the Guardian admits: Britain’s birthrate has sunk into yet steeper decline during the pandemic, as people stop having babies when times are hard – and there may not be a bounceback. So there is an eugenics element to LD, and it is about killing the unborn."
23,"If you think the decline in birthrate is bad now, I promise you the aftermath of the pandemic will push that trend further. The total disinvestment in childcare has been laid bare by COVID and folks in my generation are taking notes."
24,US birthrate at an historic pandemic/insurrection low
25,"- Feminism is preventing men and women from dating and is thus causing the low birthrate 
- Property is essential to livelihood so shouldn't be taxed
- It's better to not tax people in the first place than to pay out disaster relief funds in a pandemic"
26,"#Covid changed lives globally. But on a demographic perspective, it's just irrelevant. Clint explains why in this short video. 

For the full #QuickHit discussion, go to:
https://completeintel.com/2021/06/22/the-death-of-growth-old-rich-vs-young-poor-in-2030-beyond/…

#birthrate #pandemic #demographic #globalchanges #deathrate"
27,"When the novelty of being at home locked up 24/7 with your significant other wears off:

US birthrate falls during pandemic."
28,How has the pandemic impacted population? #birthrate #demography #population 
