,Country,2019,2020
0,Afghanistan,1211509,1215628
1,Africa,43206498,43713339
2,Albania,33421,32888
3,Algeria,1012188,995368
4,Angola,1283488,1311356
5,Antigua and Barbuda,1467,1457
6,Argentina,753596,752059
7,Armenia,40300,39311
8,Aruba,1249,1264
9,Asia,73789469,73279366
10,"Asia, Central",1633548,1608434
11,Australia,318644,318478
12,Australia & New Zealand,378290,378149
13,Austria,89072,89693
14,Azerbaijan,161937,156761
15,Bahamas,5408,5422
16,Bahrain,22009,22096
17,Bangladesh,2913430,2889959
18,Barbados,3048,3045
19,Belarus,109779,107929
20,Belgium,124262,124027
21,Belize,8014,8059
22,Benin,423498,430443
23,Bhutan,12977,12886
24,Bolivia,247145,247457
25,Bosnia and Herzegovina,26311,25586
26,Botswana,55757,55466
27,Brazil,2889924,2859135
28,Brunei,6260,6156
29,Bulgaria,61892,61003
30,Burkina Faso,762497,774622
31,Burundi,443133,449616
32,Cambodia,362761,360189
33,Cameroon,903930,914863
34,Canada,386464,386828
35,Cape Verde,10478,10357
36,Caribbean,706903,700165
37,Central African Republic,167385,169149
38,Central America,3245542,3231035
39,Central and Southern Asia,38342265,38238679
40,Chad,665764,677534
41,Channel Islands,1687,1697
42,Chile,229031,227040
43,China,16539228,16233446
44,Colombia,732473,727212
45,Comoros,26739,26932
46,Congo,174549,176735
47,Costa Rica,69059,68242
48,Cote d'Ivoire,913408,928937
49,Croatia,36074,35341
50,Cuba,112811,110698
51,Curacao,1747,1738
52,Cyprus,12265,12070
53,Czechia,109531,108313
54,Democratic Republic of Congo,3532492,3597686
55,Denmark,62394,63256
56,Djibouti,20436,20290
57,Dominican Republic,205998,204486
58,Eastern Africa,14600622,14801746
59,Eastern Asia,18552339,18219912
60,Eastern Europe,3236928,3170506
61,Eastern and South-Eastern Asia,29922300,29527152
62,Ecuador,337131,337355
63,Egypt,2576835,2562681
64,El Salvador,116522,115623
65,Equatorial Guinea,44478,45415
66,Eritrea,104526,104122
67,Estonia,13521,13402
68,Eswatini,29726,29467
